date,dipl-tokens,title
1482,5215,BuchDerNatur
1487,13817,GartDerGesundheit
1532,9550,ArtzneyBuchleinDerKreutter
1532,17387,ContrafaytKreuterbuch
1539,10484,NewKreuetterBuch
1543,8042,NewKreuetterbbuch
1557,6215,WieSichMeniglich
1563,3785,NewKreueterbuch
1588,5054,Paradeiszgaertlein
1603,5504,AlchymistischePractic
1609,6516,HortulusSanitatis
1609,4992,KraeuterbuchDesEdelen
1639,9231,PflantzGart
1652,5253,Wund-Artzney
1662,4321,Phythologia
1673,11534,ThesaurusSanitatis
1675,7028,SonderbaresKraeuterbuch
1687,3510,SchweizerischerBotanicus
1696,3893,TheatrumBotanicum
1719,3596,ViridariumReformatum
1722,6219,FloraSaturnizans
1735,7864,MysterivmSigillorvm
1750,5609,BlackwellischesKraeuterbuch
1764,7115,EinleitungZuDerKraeuterkenntnisz
1774,3982,Unterricht
1792,5094,GrundrissKraeuterkunde
1793,4244,Apothekerlexikon
1809,3177,GetreueDarstellungUndBeschreibung
1821,3636,Flora-7
1821,3312,Flora-6
1828,12410,EigenschaftenAllerHeilpflanzen
1840,7984,NochEinigeWorte
1843,7995,VorlesungenUeberKraeuterkunde
1860,3852,GrossesIllustriertesKraeuterbuch
1870,10282,DeutschePflanzennamen
1870,7519,FloraDerPreussischenRheinlande
1874,4527,GemeinnuetzigesKraeuterbuch
1887,3828,NatuerlichePflanzenfamilien
1914,3961,Kraeuterbuch
