"step","n.seen","mean","lower","upper"
1,99,0.477626262626263,0.373737373737374,0.585858585858586
2,198,0.355881313131313,0.287878787878788,0.424242424242424
3,297,0.291717171717172,0.239057239057239,0.343434343434343
4,396,0.251051767676768,0.212121212121212,0.29040404040404
5,495,0.222278787878788,0.18989898989899,0.256565656565657
6,594,0.200377946127946,0.171717171717172,0.228956228956229
7,693,0.183382395382395,0.158730158730159,0.207792207792208
8,792,0.169640782828283,0.147727272727273,0.191919191919192
9,891,0.15795847362514,0.139169472502806,0.177328843995511
10,990,0.14809696969697,0.131313131313131,0.164646464646465
11,1089,0.139669880624426,0.12396694214876,0.155188246097337
12,1188,0.132462962962963,0.118686868686869,0.146464646464646
13,1287,0.126101398601399,0.113442113442113,0.138306138306138
14,1386,0.120476911976912,0.10966810966811,0.132034632034632
15,1485,0.115522558922559,0.105723905723906,0.125925925925926
16,1584,0.110938131313131,0.102272727272727,0.119318181818182
17,1683,0.106841948900772,0.0998217468805704,0.114081996434938
18,1782,0.103029461279461,0.0970819304152638,0.108866442199776
19,1881,0.0994694311536417,0.0951621477937267,0.103668261562998
20,1980,0.0962540404040404,0.094949494949495,0.0974747474747475
