"period","m","Vm"
"1482-1549",1,48
"1482-1549",2,10
"1482-1549",3,5
"1482-1549",4,2
"1482-1549",5,2
"1482-1549",6,1
"1482-1549",7,1
"1482-1549",9,3
"1482-1549",13,1
"1482-1549",17,1
"1482-1549",19,1
"1482-1549",40,1
"1550-1649",1,43
"1550-1649",2,16
"1550-1649",3,3
"1550-1649",4,5
"1550-1649",5,2
"1550-1649",6,1
"1550-1649",7,1
"1550-1649",10,1
"1550-1649",18,1
"1550-1649",25,1
"1550-1649",31,1
"1650-1749",1,43
"1650-1749",2,16
"1650-1749",3,6
"1650-1749",4,6
"1650-1749",5,1
"1650-1749",6,2
"1650-1749",7,1
"1650-1749",9,2
"1650-1749",10,1
"1650-1749",11,1
"1650-1749",14,1
"1650-1749",19,1
"1650-1749",20,1
"1650-1749",22,1
"1750-1849",1,102
"1750-1849",2,32
"1750-1849",3,17
"1750-1849",4,8
"1750-1849",5,8
"1750-1849",6,5
"1750-1849",7,4
"1750-1849",8,1
"1750-1849",9,5
"1750-1849",10,1
"1750-1849",11,1
"1750-1849",12,2
"1750-1849",15,1
"1750-1849",16,1
"1750-1849",18,1
"1750-1849",19,1
"1750-1849",22,1
"1750-1849",25,1
"1750-1849",40,1
"1750-1849",142,1
"1850-1914",1,80
"1850-1914",2,26
"1850-1914",3,11
"1850-1914",4,7
"1850-1914",5,7
"1850-1914",6,4
"1850-1914",7,1
"1850-1914",8,2
"1850-1914",9,1
"1850-1914",10,1
"1850-1914",12,1
"1850-1914",16,1
"1850-1914",18,1
"1850-1914",21,1
"1850-1914",40,1
"1850-1914",63,1
"1850-1914",90,1
